ID,Title,Author,Publication Date,Language,LoC Class,Subjects,Link
2554,Crime and Punishment by Fyodor Dostoyevsky (518),"Dostoyevsky, Fyodor, 1821-1881","Mar 28, 2006",English,"PG: Language and Literatures: Slavic (including Russian), Languages and Literature","Detective and mystery stories, Psychological fiction, Saint Petersburg (Russia) -- Fiction, Murder -- Fiction, Crime -- Psychological aspects -- Fiction",https://www.gutenberg.org/ebooks/2554
2591,Grimms' Fairy Tales by Jacob Grimm and Wilhelm Grimm (503),"Grimm, Jacob, 1785-1863","Apr 1, 2001",English,"PT: Language and Literatures: Germanic, Scandinavian, and Icelandic literatures",Fairy tales -- Germany,https://www.gutenberg.org/ebooks/2591
1661,The Adventures of Sherlock Holmes by Arthur Conan Doyle (489),"Doyle, Arthur Conan, 1859-1930","Mar 1, 1999",English,PR: Language and Literatures: English literature,"Holmes, Sherlock (Fictitious character) -- Fiction, Private investigators -- England -- Fiction, Detective and mystery stories, English",https://www.gutenberg.org/ebooks/1661
1260,Jane Eyre: An Autobiography by Charlotte Brontë (473),"Brontë, Charlotte, 1816-1855","Mar 1, 1998",English,PR: Language and Literatures: English literature,"Orphans -- Fiction, England -- Fiction, Young women -- Fiction, Love stories, Governesses -- Fiction, Fathers and daughters -- Fiction, Mentally ill women -- Fiction, Charity-schools -- Fiction, Married people -- Fiction, Country homes -- Fiction, Bildungsromans",https://www.gutenberg.org/ebooks/1260
1952,The Yellow Wallpaper by Charlotte Perkins Gilman (467),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/1952
72296,Trial of Jane Leigh Perrot by Jane Leigh Perrot (456),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/72296
43,The Strange Case of Dr. Jekyll and Mr. Hyde by Robert Louis Stevenson (456),"Stevenson, Robert Louis, 1850-1894","Jun 27, 2008",English,PR: Language and Literatures: English literature,"Science fiction, Horror tales, London (England) -- Fiction, Physicians -- Fiction, Psychological fiction, Self-experimentation in medicine -- Fiction, Multiple personality -- Fiction",https://www.gutenberg.org/ebooks/43
1232,The Prince by Niccolò Machiavelli (455),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/1232
76,Adventures of Huckleberry Finn by Mark Twain (447),"Twain, Mark, 1835-1910","Jun 29, 2004",English,PS: Language and Literatures: American and Canadian literature,"Humorous stories, Bildungsromans, Boys -- Fiction, Male friendship -- Fiction, Adventure stories, Missouri -- Fiction, Race relations -- Fiction, Runaway children -- Fiction, Finn, Huckleberry (Fictitious character) -- Fiction, Fugitive slaves -- Fiction, Mississippi River -- Fiction",https://www.gutenberg.org/ebooks/76
35899,The Philippines a Century Hence by José Rizal (444),"Rizal, José, 1861-1896","Apr 18, 2011",English,DS: History: General and Eastern Hemisphere: Asia,Philippines,https://www.gutenberg.org/ebooks/35899
4300,Ulysses by James Joyce (442),"Joyce, James, 1882-1941","Jul 1, 2003",English,PR: Language and Literatures: English literature,"City and town life -- Fiction, Psychological fiction, Domestic fiction, Married people -- Fiction, Male friendship -- Fiction, Dublin (Ireland) -- Fiction, Epic literature, Artists -- Fiction, Jewish men -- Fiction, Alienation (Social psychology) -- Fiction",https://www.gutenberg.org/ebooks/4300
6130,The Iliad by Homer (423),"Homer, 750? BCE-650? BCE","Jul 1, 2004",English,PA: Language and Literatures: Classical Languages and Literature,"Classical literature, Epic poetry, Greek -- Translations into English, Achilles (Mythological character) -- Poetry, Trojan War -- Poetry",https://www.gutenberg.org/ebooks/6130
1213,The Man That Corrupted Hadleyburg by Mark Twain (408),"Twain, Mark, 1835-1910","Feb 1, 1998",English,PS: Language and Literatures: American and Canadian literature,"Humorous stories, American, United States -- Social life and customs -- 19th century -- Fiction",https://www.gutenberg.org/ebooks/1213
219,Heart of Darkness by Joseph Conrad (408),"Conrad, Joseph, 1857-1924","Jan 9, 2006",English,PR: Language and Literatures: English literature,"Africa -- Fiction, Europeans -- Africa -- Fiction, Trading posts -- Fiction, Degeneration -- Fiction, Imperialism -- Fiction, Psychological fiction",https://www.gutenberg.org/ebooks/219
2600,War and Peace by graf Leo Tolstoy (403),"Tolstoy, Leo, graf, 1828-1910","Apr 1, 2001",English,"PG: Language and Literatures: Slavic (including Russian), Languages and Literature","Historical fiction, War stories, Napoleonic Wars, 1800-1815 -- Campaigns -- Russia -- Fiction, Russia -- History -- Alexander I, 1801-1825 -- Fiction, Aristocracy (Social class) -- Russia -- Fiction",https://www.gutenberg.org/ebooks/2600
1727,The Odyssey by Homer (391),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/1727
408,The Souls of Black Folk by W. E. B.  Du Bois (375),"Du Bois, W. E. B. (William Edward Burghardt), 1868-1963","Jan 1, 1996",English,E151: History: America: United States,African Americans,https://www.gutenberg.org/ebooks/408
205,"Walden, and On The Duty Of Civil Disobedience by Henry David Thoreau (374)","Thoreau, Henry David, 1817-1862","Jan 1, 1995",English,PS: Language and Literatures: American and Canadian literature,"Civil disobedience, Authors, American -- 19th century -- Biography, Thoreau, Henry David, 1817-1862 -- Homes and haunts -- Massachusetts -- Walden Woods, Wilderness areas -- Massachusetts -- Walden Woods, Natural history -- Massachusetts -- Walden Woods, Solitude, Government, Resistance to, Walden Woods (Mass.) -- Social life and customs",https://www.gutenberg.org/ebooks/205
72299,The party battles of the Jackson period by Claude G.  Bowers (372),"Bowers, Claude G. (Claude Gernade), 1879?-1958","Dec 3, 2023",English,Unknown,,https://www.gutenberg.org/ebooks/72299
72294,"White Sox, the story of the reindeer in Alaska by William T. Lopp (370)","Lopp, William T.","Dec 2, 2023",English,Unknown,,https://www.gutenberg.org/ebooks/72294
24022,A Christmas Carol by Charles Dickens (365),"Dickens, Charles, 1812-1870","Dec 24, 2007",English,PR: Language and Literatures: English literature,"Christmas stories, London (England) -- Fiction, Poor families -- Fiction, Ghost stories, Misers -- Fiction, Sick children -- Fiction, Scrooge, Ebenezer (Fictitious character) -- Fiction",https://www.gutenberg.org/ebooks/24022
55,The Wonderful Wizard of Oz by L. Frank  Baum (361),"Baum, L. Frank (Lyman Frank), 1856-1919","Feb 1, 1993",English,PZ: Language and Literatures: Juvenile belles lettres,"Oz (Imaginary place) -- Juvenile fiction, Fantasy literature, Courage -- Juvenile fiction, Home -- Juvenile fiction, Good and evil -- Juvenile fiction, Dreams -- Juvenile fiction, Gale, Dorothy (Fictitious character) -- Juvenile fiction, Cowardly Lion (Fictitious character) -- Juvenile fiction, Cyclones -- Juvenile fiction, Scarecrow (Fictitious character from Baum) -- Juvenile fiction, Toto (Fictitious character) -- Juvenile fiction, Witches -- Juvenile fiction, Wizard of Oz (Fictitious character) -- Juvenile fiction, Tin Woodman (Fictitious character) -- Juvenile fiction",https://www.gutenberg.org/ebooks/55
72295,The Thames and its docks by Alexander Forrow (358),"Forrow, Alexander","Dec 2, 2023",English,Unknown,,https://www.gutenberg.org/ebooks/72295
37499,"Napoleon's Letters to Josephine, 1796-1812 by Emperor of the French Napoleon I (357)","Napoleon I, Emperor of the French, 1769-1821","Sep 21, 2011",English,"DC: History: General and Eastern Hemisphere: France, Andorra, Monaco","Napoleon I, Emperor of the French, 1769-1821 -- Correspondence, Josephine, Empress, consort of Napoleon I, Emperor of the French, 1763-1814 -- Correspondence",https://www.gutenberg.org/ebooks/37499
47629,"Ang ""Filibusterismo"" (Karugtóng ng Noli Me Tangere) by José Rizal (353)",Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/47629
2814,Dubliners by James Joyce (351),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/2814
27827,The Kama Sutra of Vatsyayana by Vatsyayana (345),Vatsyayana,"Jan 18, 2009",English,"HQ: Social sciences: The family, Marriage, Sex and Gender","Love, Sex",https://www.gutenberg.org/ebooks/27827
514,Little Women by Louisa May Alcott (343),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/514
45,Anne of Green Gables by L. M.  Montgomery (333),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/45
1467,Some Christmas Stories by Charles Dickens (333),"Dickens, Charles, 1812-1870","Sep 1, 1998",English,PR: Language and Literatures: English literature,"Short stories, Christmas stories, English, Holidays -- Fiction",https://www.gutenberg.org/ebooks/1467
1998,Thus Spake Zarathustra: A Book for All and None by Friedrich Wilhelm Nietzsche (331),"Nietzsche, Friedrich Wilhelm, 1844-1900","Dec 1, 1999",English,"B: Philosophy, Psychology, Religion","Superman (Philosophical concept), Philosophy, German",https://www.gutenberg.org/ebooks/1998
2680,Meditations by Emperor of Rome Marcus Aurelius (330),"Marcus Aurelius, Emperor of Rome, 121-180","Jun 1, 2001",English,"B: Philosophy, Psychology, Religion","Stoics, Ethics, Life",https://www.gutenberg.org/ebooks/2680
30254,The Romance of Lust: A classic Victorian erotic novel by Anonymous (322),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/30254
16328,Beowulf: An Anglo-Saxon Epic Poem (322),Unknown,"Jul 19, 2005",English,PR: Language and Literatures: English literature,"Epic poetry, English (Old), Monsters -- Poetry, Dragons -- Poetry",https://www.gutenberg.org/ebooks/16328
1497,The Republic by Plato (319),"Plato, 427? BCE-347? BCE","Oct 1, 1998",English,JC: Political science: Political theory,"Classical literature, Political science -- Early works to 1800, Utopias -- Early works to 1800, Justice -- Early works to 1800",https://www.gutenberg.org/ebooks/1497
72303,The Art of Music - Vol. 7 (of 14) : by Various (316),Various,"Dec 3, 2023",English,Unknown,,https://www.gutenberg.org/ebooks/72303
15114,An Investigation of the Laws of Thought by George Boole (315),"Boole, George, 1815-1864","Feb 16, 2005",English,"BC: Philosophy, Psychology, Religion: Logic","Logic, Symbolic and mathematical, Probabilities, Thought and thinking",https://www.gutenberg.org/ebooks/15114
1184,The Count of Monte Cristo by Alexandre Dumas and Auguste Maquet (314),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/1184
600,Notes from the Underground by Fyodor Dostoyevsky (310),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/600
16,Peter Pan by J. M.  Barrie (300),"Barrie, J. M. (James Matthew), 1860-1937","Jun 25, 2008",English,PR: Language and Literatures: English literature,"Fantasy literature, Peter Pan (Fictitious character) -- Fiction, Never-Never Land (Imaginary place) -- Fiction, Pirates -- Fiction, Fairies -- Fiction",https://www.gutenberg.org/ebooks/16
24869,"The Rámáyan of Válmíki, translated into English verse by Valmiki (295)",Valmiki,"Mar 18, 2008",English,PK: Language and Literatures: Indo-Iranian literatures,"Folklore -- India, Epic poetry, Sanskrit -- Translations into English, Rama (Hindu deity) -- Poetry",https://www.gutenberg.org/ebooks/24869
3207,Leviathan by Thomas Hobbes (292),Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/3207
74,"The Adventures of Tom Sawyer, Complete by Mark Twain (292)",Unknown,Unknown,Unknown,Unknown,,https://www.gutenberg.org/ebooks/74
19337,A Christmas Carol by Charles Dickens (290),"Dickens, Charles, 1812-1870","Sep 20, 2006",English,PR: Language and Literatures: English literature,"Christmas stories, London (England) -- Fiction, Poor families -- Fiction, Ghost stories, Misers -- Fiction, Sick children -- Fiction, Scrooge, Ebenezer (Fictitious character) -- Fiction",https://www.gutenberg.org/ebooks/19337
768,Wuthering Heights by Emily Brontë (289),"Brontë, Emily, 1818-1848","Dec 1, 1996",English,PR: Language and Literatures: English literature,"Revenge -- Fiction, Psychological fiction, Rejection (Psychology) -- Fiction, Love stories, Domestic fiction, Yorkshire (England) -- Fiction, Foundlings -- Fiction, Rural families -- Fiction, Heathcliff (Fictitious character : Brontë) -- Fiction, Triangles (Interpersonal relations) -- Fiction",https://www.gutenberg.org/ebooks/768
36034,White Nights and Other Stories by Fyodor Dostoyevsky (287),"Dostoyevsky, Fyodor, 1821-1881","May 5, 2011",English,"PG: Language and Literatures: Slavic (including Russian), Languages and Literature","Russian fiction -- Translations into English, Dostoyevsky, Fyodor, 1821-1881 -- Translations into English",https://www.gutenberg.org/ebooks/36034
10,The King James Version of the Bible (281),Unknown,"Aug 1, 1989",English,"BS: Philosophy, Psychology, Religion: Christianity: The Bible, Old and New Testament",Bible,https://www.gutenberg.org/ebooks/10
58585,The Prophet by Kahlil Gibran (276),"Gibran, Kahlil, 1883-1931","Jan 1, 2019",English,PS: Language and Literatures: American and Canadian literature,"Mysticism -- Poetry, Prose poems, American",https://www.gutenberg.org/ebooks/58585
23,"Narrative of the Life of Frederick Douglass, an American Slave by Frederick Douglass (272)","Douglass, Frederick, 1818-1895","Jan 12, 2006",English,E300: History: America: Revolution to the Civil War (1783-1861),"Douglass, Frederick, 1818-1895, African American abolitionists -- Biography, Abolitionists -- United States -- Biography, Enslaved persons -- United States -- Biography",https://www.gutenberg.org/ebooks/23
72290,Pneumatic conveying by E. G. Phillips (267),"Phillips, E. G.","Dec 2, 2023",English,Unknown,,https://www.gutenberg.org/ebooks/72290
4363,Beyond Good and Evil by Friedrich Wilhelm Nietzsche (265),"Nietzsche, Friedrich Wilhelm, 1844-1900","Aug 1, 2003",English,"B: Philosophy, Psychology, Religion","Ethics, Philosophy, German",https://www.gutenberg.org/ebooks/4363
5740,Tractatus Logico-Philosophicus by Ludwig Wittgenstein (258),"Wittgenstein, Ludwig, 1889-1951","Oct 22, 2010",German,"B: Philosophy, Psychology, Religion","Logic, Symbolic and mathematical, Language and languages -- Philosophy",https://www.gutenberg.org/ebooks/5740
72302,The Fastest Draw by Larry Eisenberg (253),"Eisenberg, Larry","Dec 3, 2023",English,Unknown,,https://www.gutenberg.org/ebooks/72302
8800,The divine comedy by Dante Alighieri (245),"Dante Alighieri, 1265-1321","Sep 1, 2005",English,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese","Epic poetry, Italian -- Translations into English, Italian poetry -- To 1400 -- Translations into English",https://www.gutenberg.org/ebooks/8800
72298,Hannis Heimkehr : by Anna Schaeder (243),"Schaeder, Anna","Dec 3, 2023",German,Unknown,,https://www.gutenberg.org/ebooks/72298
