ID,Title,Author,Publication,Language,Link
58585,The Prophet by Kahlil Gibran (315),4 by Kahlil Gibran,"Jan 1, 2019",Unknown,https://www.gutenberg.org/ebooks/58585
1399,Anna Karenina by graf Leo Tolstoy (314),100 by graf Leo Tolstoy,"Jul 1, 1998",Unknown,https://www.gutenberg.org/ebooks/1399
3296,The Confessions of St. Augustine by Bishop of Hippo Saint Augustine (312),8 by Bishop of Hippo Saint Augustine,"Jun 1, 2002",Unknown,https://www.gutenberg.org/ebooks/3296
3825,Pygmalion by Bernard Shaw (311),62 by Bernard Shaw,"Mar 1, 2003",Unknown,https://www.gutenberg.org/ebooks/3825
158,Emma by Jane Austen (311),32 by Jane Austen,"Aug 1, 1994",Unknown,https://www.gutenberg.org/ebooks/158
730,Oliver Twist by Charles Dickens (309),202 by Charles Dickens,"Nov 1, 1996",Unknown,https://www.gutenberg.org/ebooks/730
2148,The Works of Edgar Allan Poe — Volume 2 by Edgar Allan Poe (305),59 by Edgar Allan Poe,"Apr 1, 2000",Unknown,https://www.gutenberg.org/ebooks/2148
10676,The Reign of Greed by José Rizal (304),20 by José Rizal,"Jan 1, 2004",Unknown,https://www.gutenberg.org/ebooks/10676
1497,The Republic by Plato (304),70 by Plato,"Oct 1, 1998",Unknown,https://www.gutenberg.org/ebooks/1497
244,A Study in Scarlet by Arthur Conan Doyle (302),154 by Arthur Conan Doyle,"Apr 1, 1995",Unknown,https://www.gutenberg.org/ebooks/244
72107,"Married or single?, Vol. II (of 3) by B. M.  Croker (298)",17 by B. M. Croker,"Nov 12, 2023",Unknown,https://www.gutenberg.org/ebooks/72107
36,The War of the Worlds by H. G.  Wells (292),123 by H. G. Wells,"Oct 1, 2004",Unknown,https://www.gutenberg.org/ebooks/36
514,Little Women by Louisa May Alcott (288),62 by Louisa May Alcott,"May 1, 1996",Unknown,https://www.gutenberg.org/ebooks/514
215,The call of the wild by Jack London (284),110 by Jack London,"Jul 2, 2008",Unknown,https://www.gutenberg.org/ebooks/215
10007,Carmilla by Joseph Sheridan Le Fanu (282),33 by Joseph Sheridan Le Fanu,"Nov 1, 2003",Unknown,https://www.gutenberg.org/ebooks/10007
36034,White Nights and Other Stories by Fyodor Dostoyevsky (278),48 by Fyodor Dostoyevsky,"May 5, 2011",Unknown,https://www.gutenberg.org/ebooks/36034
10,The King James Version of the Bible (264),Unknown,"Aug 1, 1989",Unknown,https://www.gutenberg.org/ebooks/10
161,Sense and Sensibility by Jane Austen (260),32 by Jane Austen,"Sep 1, 1994",Unknown,https://www.gutenberg.org/ebooks/161
1251,Le Morte d'Arthur: Volume 1 by Sir Thomas Malory (258),12 by Sir Thomas Malory,"Mar 1, 1998",Unknown,https://www.gutenberg.org/ebooks/1251
779,The Tragical History of Doctor Faustus by Christopher Marlowe (257),13 by Christopher Marlowe,"Jan 1, 1997",Unknown,https://www.gutenberg.org/ebooks/779
31284,Josefine Mutzenbacher by Felix Salten (255),4 by Felix Salten,"Feb 15, 2010",Unknown,https://www.gutenberg.org/ebooks/31284
26,Paradise Lost by John Milton (253),13 by John Milton,"Feb 1, 1992",Unknown,https://www.gutenberg.org/ebooks/26
5827,The Problems of Philosophy by Bertrand Russell (253),18 by Bertrand Russell,"Jun 1, 2004",Unknown,https://www.gutenberg.org/ebooks/5827
521,The Life and Adventures of Robinson Crusoe by Daniel Defoe (250),86 by Daniel Defoe,"May 1, 1996",Unknown,https://www.gutenberg.org/ebooks/521
1250,Anthem by Ayn Rand (246),3 by Ayn Rand,"Mar 1, 1998",Unknown,https://www.gutenberg.org/ebooks/1250
19337,A Christmas Carol by Charles Dickens (241),202 by Charles Dickens,"Sep 20, 2006",Unknown,https://www.gutenberg.org/ebooks/19337
